
Index	Nounce	Data	Hash	Prev. hash	Proof of Work
3c	1211731	Helge:join	000000de42057894f57f3da86dd7029d0989da64f3f2be3d4b17836ad2742247	00000047a60a6e957c5d55b1bec8c5a84dd1cc18c69aef994bdba887c42dca8a	true
3d	3007061	Jens:leave	00000047a60a6e957c5d55b1bec8c5a84dd1cc18c69aef994bdba887c42dca8a	000000248e237af350c9c9a5620ba222633b13cc883d981440cfa60fcb43e9f8	true
3e	30968350	Kristian:leave	000000248e237af350c9c9a5620ba222633b13cc883d981440cfa60fcb43e9f8	000000e5c8761e0fcc7e2caf28b43d0cb57f47c5e608a4ddcc18d0cf8015c223	true
3f	356207	Emmely:join	000000e5c8761e0fcc7e2caf28b43d0cb57f47c5e608a4ddcc18d0cf8015c223	0000008904fd0e9d3244c194c802baf3b2910d3603093aeb789e9ea32065ac5e	true
40	11432502	Tine:join	0000008904fd0e9d3244c194c802baf3b2910d3603093aeb789e9ea32065ac5e	00000071963c506267ab796b8ac1cd112f4af70173657ffae1acd23aec9b340a	true
41	16405147	Daniel:leave	00000071963c506267ab796b8ac1cd112f4af70173657ffae1acd23aec9b340a	0000000ec5db2bfd490ea5074ec478fdb1b8a509b1453ce1764ed0241dd0c3e4	true
42	22908236	Helge:leave	0000000ec5db2bfd490ea5074ec478fdb1b8a509b1453ce1764ed0241dd0c3e4	000000343eb4b655dd8233fbdc4c1845f4ef8dbf40c8351ae816f952d65754d6	true
43	584819	Anders:join	000000343eb4b655dd8233fbdc4c1845f4ef8dbf40c8351ae816f952d65754d6	00000015d755c19ffab3323e67812bdbe436118e5fe63b2fb23462be4af062e4	true
44	107487222	Jens:join	00000015d755c19ffab3323e67812bdbe436118e5fe63b2fb23462be4af062e4	000000d1e794053eb6faa023b7fa62283ef937605e0ae0d4e922d5f3553bae65	true
45	11789991	Daniel:join	000000d1e794053eb6faa023b7fa62283ef937605e0ae0d4e922d5f3553bae65	000000a29de8dda7ccd3ea71318c0f1310095d3c3d9eba5181d8afbb6f01eb34	true
46	7083238	Emmely:leave	000000a29de8dda7ccd3ea71318c0f1310095d3c3d9eba5181d8afbb6f01eb34	0000002fae6b73e9df95c939eaf21423aec7a077d004d503f2ee5eae9c8f842a	true
47	6813964	Helge:join	0000002fae6b73e9df95c939eaf21423aec7a077d004d503f2ee5eae9c8f842a	0000001a8b4b0079404a8292654c6f3c41fc38f5c7573ad8dc13b2ef56c09a01	true
48	3930565	Kristian:join	0000001a8b4b0079404a8292654c6f3c41fc38f5c7573ad8dc13b2ef56c09a01	000000454d72b11824bb18606fb2458c1d1a513e106539de0a1fae4f3ae8b45d	true
49	18565767	Jens:leave	000000454d72b11824bb18606fb2458c1d1a513e106539de0a1fae4f3ae8b45d	0000007a3f367bd4bc672162534f41d5ca6690db54cd81fae18bf621dca4d44a	true
4a	15540906	Anders:leave	0000007a3f367bd4bc672162534f41d5ca6690db54cd81fae18bf621dca4d44a	000000a8cca54d3a23a658129e3ce808baadefae8c0bbd9f12758b8da13050db	true
4b	4082963	Tine:leave	000000a8cca54d3a23a658129e3ce808baadefae8c0bbd9f12758b8da13050db	000000989ed0cb41d6b0582996fb739ac35cfe6a4ad64f3d78471d952d1ec9ce	true
